Date	Date (UTC)	Month	Day	Hour (UTC)	wetweight_g
14.92	1/15/13	1	15	22	7.97E-06
14.96	1/15/13	1	15	23	8.02E-06
15	1/16/13	1	16	0	8.08E-06
15.04	1/16/13	1	16	1	8.14E-06
15.08	1/16/13	1	16	2	8.20E-06
15.12	1/16/13	1	16	3	8.26E-06
15.17	1/16/13	1	16	4	8.32E-06
15.21	1/16/13	1	16	5	8.38E-06
15.25	1/16/13	1	16	6	8.44E-06
15.29	1/16/13	1	16	7	8.50E-06
15.33	1/16/13	1	16	8	8.56E-06
15.37	1/16/13	1	16	9	8.62E-06
15.42	1/16/13	1	16	10	8.69E-06
15.46	1/16/13	1	16	11	8.75E-06
15.5	1/16/13	1	16	12	8.81E-06
15.54	1/16/13	1	16	13	8.87E-06
15.58	1/16/13	1	16	14	8.93E-06
15.62	1/16/13	1	16	15	9.00E-06
15.67	1/16/13	1	16	16	9.06E-06
15.71	1/16/13	1	16	17	9.12E-06
15.75	1/16/13	1	16	18	9.19E-06
15.79	1/16/13	1	16	19	9.25E-06
15.83	1/16/13	1	16	20	9.32E-06
15.87	1/16/13	1	16	21	9.38E-06
15.92	1/16/13	1	16	22	9.45E-06
15.96	1/16/13	1	16	23	9.51E-06
16	1/17/13	1	17	0	9.58E-06
16.04	1/17/13	1	17	1	9.64E-06
16.08	1/17/13	1	17	2	9.71E-06
16.12	1/17/13	1	17	3	9.78E-06
16.17	1/17/13	1	17	4	9.84E-06
16.21	1/17/13	1	17	5	9.91E-06
16.25	1/17/13	1	17	6	9.98E-06
16.29	1/17/13	1	17	7	1.00E-05
16.33	1/17/13	1	17	8	1.01E-05
16.37	1/17/13	1	17	9	1.02E-05
16.42	1/17/13	1	17	10	1.03E-05
16.46	1/17/13	1	17	11	1.03E-05
16.5	1/17/13	1	17	12	1.04E-05
16.54	1/17/13	1	17	13	1.05E-05
16.58	1/17/13	1	17	14	1.05E-05
16.62	1/17/13	1	17	15	1.06E-05
16.67	1/17/13	1	17	16	1.07E-05
16.71	1/17/13	1	17	17	1.07E-05
16.75	1/17/13	1	17	18	1.08E-05
16.79	1/17/13	1	17	19	1.09E-05
